stud_id,marital_status,application_mode,application_order,course,daytime_evening_attendance,previous_qualification,previous_qualification_(grade),nationality,mothers_qualification,fathers_qualification,mothers_occupation,fathers_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,curricular_units_1st_sem_(credited),curricular_units_1st_sem_(enrolled),curricular_units_1st_sem_(evaluations),curricular_units_1st_sem_(approved),curricular_units_1st_sem_(grade),curricular_units_1st_sem_(without_evaluations),curricular_units_2nd_sem_(credited),curricular_units_2nd_sem_(enrolled),curricular_units_2nd_sem_(evaluations),curricular_units_2nd_sem_(approved),curricular_units_2nd_sem_(grade),curricular_units_2nd_sem_(without_evaluations),unemployment_rate,inflation_rate,gdp,status
1,Married,Transfer,1,Tourism,Daytime,Secondary education,136,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,"Intermediate level technicians from legal, social, sports, cultural and similar services",Directors of administrative and commercial services,130,Yes,No,No,Yes,Male,No,22,No,2,6,13,4,11.5,0,2,6,12,2,12.5,0,7.6,2.6,0.32,Dropout
2,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,137,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,130.8,Yes,No,No,Yes,Female,Yes,18,No,0,7,7,6,12.66666667,0,0,7,7,6,12.66666667,0,7.6,2.6,0.32,Graduate
3,Single,Change of course,1,Equinculture,Daytime,Secondary education,127,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",120.7,Yes,No,Yes,Yes,Female,No,18,No,0,5,11,1,12,0,0,5,9,3,12,0,12.7,3.7,-1.7,Enrolled
4,Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,147,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,134.3,Yes,No,No,Yes,Female,No,18,No,0,8,8,7,14.2,0,0,8,8,7,14.2,0,12.7,3.7,-1.7,Graduate
5,Single,1st phase - special contingent (Madeira Island),3,Veterinary Nursing,Daytime,Secondary education,130,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Specialists in Intellectual and Scientific Activities,119.5,Yes,No,No,Yes,Female,Yes,18,No,0,6,14,6,14.33333333,0,0,6,9,6,12,0,15.5,2.8,-4.06,Graduate
6,Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,125,Portuguese,Unknown,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,129.2,Yes,No,Yes,No,Female,No,20,No,0,6,12,3,10.33333333,0,0,6,14,1,11,0,10.8,1.4,1.74,Dropout
7,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,163,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",155,No,No,No,Yes,Female,Yes,21,No,0,6,6,6,13.33333333,0,0,6,8,6,13.16666667,0,9.4,-0.8,-3.12,Graduate
8,Single,1st phase - general contingent,2,Veterinary Nursing,Daytime,Secondary education,144,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Armed Forces Professions,132.1,Yes,No,No,Yes,Female,Yes,19,No,0,5,10,3,12.66666667,1,0,5,7,3,13,0,12.7,3.7,-1.7,Graduate
9,Married,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,120,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education - Degree,Unskilled Workers,Intermediate Level Technicians and Professions,168.2,No,No,No,Yes,Male,No,45,No,0,5,6,5,14,0,0,5,6,5,14.16666667,0,12.4,0.5,1.79,Graduate
10,Single,Over 23 years old,1,Veterinary Nursing,Daytime,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",130,Yes,No,No,Yes,Female,No,26,No,0,6,17,6,12.66666667,0,0,6,21,4,12.25,0,15.5,2.8,-4.06,Graduate
